title,price_gbp,rating
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
Sophie's World,15.94,5
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
Obsidian (Lux #1),14.86,2
Untitled Collection: Sabbath Poems 2014,14.27,4
On a Midnight Clear,14.07,3
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,5
In Her Wake,12.84,1
Patience,10.16,3
